objectid,old file,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col003_62,col003_p62.jpg,col003_p58.jpg,,,"Images of Meridian, Idaho",Willett Family,1921,,Left: Methodist church.<br>Top right: Christian church.<br>Bottom right: Interurban station.,churches;interurban station;,"Meridian, ID",43.6094542,-116.3931117,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_63,col003_p63.jpg,col003_p59.jpg,,,"Images of Meridian, Idaho",Willett Family,1921,,Top left: City Hall.<br>Bottom left: Railroad station.<br>Right: Nazarene church,churches;railroads;city halls,"Meridian, ID",43.6094542,-116.3931117,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_64,col003_p64.jpg,col003_p60.jpg,,,Traveling through Wyoming,Willett Family,1921,,"Top left: View of downtown Granger.<br>Top right: Man set up auto bungalow.<br>Bottom left: Men set up auto bungalow.<br>Bottom right: Willett and Smith families stand on top of Sherman Hill, Wyoming. ",auto bungalows;men;women;towns;families;mountains,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_65,col003_p65.jpg,col003_p61.jpg,,,Traveling through Illinois and Wyoming,Willett Family,1921,,Top left: Oil pumping device in Illinois.<br>Top right: Rocky mountain in Wyoming.<br>Bottom left: Men and woman sit in front of the auto bungalow and eat lunch on the mountain.<br>Bottom right: Another view of the oil pumping rig in Illinois.,auto bungalows;men;women;oil,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_66,col003_p66.jpg,col003_p62.jpg,,,Traveling through Idaho,Willett Family,1921,,"Top left: Image of men and women with their horses in front of a home in Meridian.<br>Top right: View of American Falls, Idaho.<br>Bottom left: Image of dog stretching in front of home.",horses;men;women;dogs;waterfalls,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_67,col003_p67.jpg,col003_p63.jpg,,,Traveling through Idaho,Willett Family,1921,,"All images showcase different views of American Falls, Idaho",waterfalls;bridges;rivers;dams,"American Falls, ID",42.7845172,-112.8742372,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_68,col003_p68.jpg,col003_p64.jpg,,,Traveling through Idaho and Wyoming,Willett Family,1921,,"Top left: Street scene in Meridian, Idaho.<br>RIght: Fred Willett and Wendell Fisher.<br>Bottom left: Storefront in Medicine Bow, Wyoming.",men;streets;automobiles;storefronts,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_69,col003_p69.jpg,col003_p65.jpg,,,Traveling through Idaho and Wyoming,Willett Family,1921,,"Left: Wendell Fisher stands in front of house.<br>Top right: Willetts family and neighbors in Meridian, Idaho.<br>Bottom right: men and women stand in front of auto bungalow in Cheyenne, Wyoming campground.",men;women;houses;auto bungalows;campgrounds,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_70,col003_p70.jpg,col003_p66.jpg,,,"Images of Meridian, Idaho",Willett Family,1921,,"Top left: Three women stand in front of houses in Meridian, Idaho.<br>Bottom left: House in Meridian, Idaho.<br>Right: Hazel Green and Hazel Willet stand on sidewalk in Meridian.",women;houses,"Meridian, ID",43.6094542,-116.3931117,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_71,col003_p71.jpg,col003_p67.jpg,,,Traveling through New York and Idaho,Willett Family,1921,,"Top left: Man standing in front of Mr. Lowell's home in New York.<br>Top right: View of American Falls, Idaho.<br>Bottom Left: Hazel Willett and Hazel Green stand in front of Meridian house.<br>Bottom right: Log cabin style home with automobile in front of campground.",houses;men;women;waterfalls;campgrounds,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
